name,birthday,nationality
Tom Cruise,1962-07-03,USA
Kevin Costner,1955-01-18,USA
Wentworth Miller,1972-06-02,USA
Shemar Moore,1970-04-20,USA
Jack Dylan Grazer,2003-09-03,USA
Travis Bacon,1989-06-23,USA
Noah Centineo,1996-05-09,USA
Colton Haynes,1988-07-13,USA
Chad Michael Murray,1981-08-24,USA
Chris Evans,1981-06-13,USA
Tom Kenny,1962-07-13,USA
Wagner Moura,1976-06-27,BRAZIL
